Año,Mes,Tipo_Categoria,Nombre,Accidentes_Mortales,Accidentes_Trabajo,Incidentes_Peligrosos,Enfermedades_Ocupacionales,Total_Notificaciones,Porcentaje_Accidentes
2026,Enero,Region,ICA,4.0,36.0,2.0,2.0,44.0,0.0
2026,Enero,Region,JUNIN,0.0,23.0,0.0,0.0,23.0,0.0
2026,Enero,Region,LA LIBERTAD,3.0,41.0,3.0,3.0,50.0,0.0
2026,Enero,Region,LAMBAYEQUE,0.0,9.0,1.0,1.0,11.0,0.0
2026,Enero,Region,LIMA REGIÓN,0.0,91.0,2.0,2.0,95.0,0.0
2026,Enero,Region,LIMA METROPOLITANA,13.0,2949.0,11.0,15.0,2988.0,0.0
2026,Enero,Region,LORETO,0.0,8.0,0.0,0.0,8.0,0.0
2026,Enero,Region,MOQUEGUA,0.0,9.0,2.0,2.0,13.0,0.0
2026,Enero,Region,PASCO,0.0,30.0,1.0,1.0,32.0,0.0
2026,Enero,Region,PIURA,0.0,35.0,1.0,1.0,37.0,0.0
2026,Enero,Region,PUNO,0.0,5.0,0.0,0.0,5.0,0.0
2026,Enero,Region,TACNA,0.0,30.0,2.0,2.0,34.0,0.0
2026,Enero,Region,UCAYALI,1.0,40.0,0.0,0.0,41.0,0.0
2026,Febrero,Region,ANCASH,0.0,139.0,3.0,0.0,142.0,0.0
2026,Febrero,Region,APURIMAC,0.0,13.0,0.0,0.0,13.0,0.0
2026,Febrero,Region,AREQUIPA,1.0,575.0,7.0,0.0,583.0,0.0
2026,Febrero,Region,AYACUCHO,0.0,7.0,2.0,0.0,9.0,0.0
2026,Febrero,Region,CAJAMARCA,1.0,7.0,1.0,0.0,9.0,0.0
2026,Febrero,Region,CALLAO,6.0,252.0,2.0,0.0,260.0,0.0
2026,Febrero,Region,CUSCO,5.0,39.0,1.0,1.0,46.0,0.0
2026,Febrero,Region,HUANCAVELICA,2.0,9.0,0.0,0.0,11.0,0.0
2026,Febrero,Region,HUANUCO,0.0,50.0,0.0,0.0,50.0,0.0
2026,Febrero,Region,ICA,0.0,29.0,1.0,0.0,30.0,0.0
2026,Febrero,Region,JUNIN,2.0,170.0,2.0,0.0,174.0,0.0
2026,Febrero,Region,LA LIBERTAD,1.0,2.0,2.0,0.0,5.0,0.0
2026,Febrero,Region,LAMBAYEQUE,0.0,75.0,0.0,0.0,75.0,0.0
2026,Febrero,Region,LIMA REGIÓN,11.0,2548.0,15.0,8.0,2582.0,0.0
2026,Febrero,Region,LIMA METROPOLITANA,1.0,17.0,0.0,0.0,18.0,0.0
2026,Febrero,Region,LORETO,0.0,27.0,1.0,0.0,28.0,0.0
2026,Febrero,Region,MOQUEGUA,1.0,21.0,0.0,0.0,22.0,0.0
2026,Febrero,Region,PASCO,0.0,44.0,0.0,0.0,44.0,0.0
2026,Febrero,Region,PIURA,1.0,5.0,0.0,0.0,6.0,0.0
2026,Febrero,Region,PUNO,1.0,34.0,0.0,0.0,35.0,0.0
2026,Febrero,Region,TACNA,0.0,2.0,0.0,0.0,2.0,0.0
2026,Febrero,Region,UCAYALI,1.0,42.0,0.0,0.0,43.0,0.0
2026,Marzo,Region,ANCASH,1.0,152.0,1.0,0.0,154.0,0.0
2026,Marzo,Region,APURIMAC,0.0,10.0,0.0,0.0,10.0,0.0
2026,Marzo,Region,AREQUIPA,0.0,398.0,3.0,0.0,401.0,0.0
2026,Marzo,Region,AYACUCHO,1.0,6.0,0.0,0.0,7.0,0.0
2026,Marzo,Region,CAJAMARCA,2.0,8.0,1.0,0.0,11.0,0.0
2026,Marzo,Region,CALLAO,8.0,220.0,2.0,0.0,230.0,0.0
2026,Marzo,Region,CUSCO,1.0,41.0,3.0,0.0,45.0,0.0
2026,Marzo,Region,HUANCAVELICA,0.0,21.0,3.0,0.0,24.0,0.0
2026,Marzo,Region,HUANUCO,1.0,8.0,0.0,0.0,9.0,0.0
2026,Marzo,Region,ICA,0.0,50.0,0.0,0.0,50.0,0.0
2026,Marzo,Region,JUNIN,0.0,41.0,0.0,0.0,41.0,0.0
2026,Marzo,Region,LA LIBERTAD,2.0,197.0,2.0,0.0,201.0,0.0
2026,Marzo,Region,LAMBAYEQUE,2.0,13.0,1.0,0.0,16.0,0.0
2026,Marzo,Region,LIMA,1.0,70.0,0.0,0.0,71.0,0.0
2026,Marzo,Region,LIMA METROPOLITANA,1.0,2611.0,15.0,19.0,2646.0,0.0
2026,Marzo,Region,LORETO,0.0,5.0,0.0,0.0,5.0,0.0
